sec_id,xml_len,pdf_len,len_ratio,xml_tokens,pdf_tokens,jaccard_unigram,rf_similarity,xml_heading,pdf_heading
§115.10,175,217,1.24,25,29,0.917,80.6,Coverage of DHS immigration detention facilities.,Coverage of DHS immigration
§115.11,1113,1182,1.062,170,179,0.986,93.9,Zero tolerance of sexual abuse; Prevention of Sexual Assault Coordinator.,Zero
§115.110,173,193,1.116,27,29,0.92,89.6,Coverage of DHS holding facilities.,Coverage of DHS holding facilities.
§115.111,429,498,1.161,68,77,0.944,85.9,Zero tolerance of sexual abuse; Prevention of Sexual Assault Coordinator.,Zero
§115.112,782,872,1.115,119,132,0.91,89.6,Contracting with non-DHS entities for the confinement of detainees.,Contracting with non-DHS
§115.113,984,1084,1.102,137,150,0.909,90.7,Detainee supervision and monitoring.,Detainee
§115.114,677,677,1.0,107,107,1.0,99.7,Juvenile and family detainees.,Juvenile and family detainees.
§115.115,2160,2129,0.986,324,324,0.898,92.2,Limits to cross-gender viewing and searches.,Limits to cross-gender viewing and searches.
§115.116,2561,2639,1.03,377,387,0.993,97.0,Accommodating detainees with disabilities and detainees who are limited English proficient.,Accommodating
§115.117,2211,2265,1.024,344,351,0.949,97.5,Hiring and promotion decisions.,Hiring and promotion decisions.
§115.118,568,602,1.06,84,87,0.96,94.0,Upgrades to facilities and technologies.,Upgrades to facilities and
§115.12,552,606,1.098,78,86,0.897,90.9,Contracting with non-DHS entities for the confinement of detainees.,Contracting with non-DHS entities for the confinement of detainees.
§115.121,1722,1722,1.0,259,259,1.0,99.9,Evidence protocols and forensic medical examinations.,Evidence protocols and forensic medical examinations.
§115.122,1419,1501,1.058,216,231,0.896,94.5,Policies to ensure investigation of allegations and appropriate agency oversight.,Policies to ensure investigation of allegations and appropriate
§115.13,1407,1435,1.02,196,199,0.992,98.0,Detainee supervision and monitoring.,Detainee
§115.131,1605,1625,1.012,240,242,0.969,96.2,"Employee, contractor, and volunteer training.","Employee, contractor, and"
§115.132,293,329,1.123,43,49,0.972,88.8,Notification to detainees of the agency's zero-tolerance policy.,Notification to detainees of
§115.133,20,0,0.0,3,0,0.0,0.0,,[Reserved]
§115.134,540,600,1.111,72,80,0.927,86.0,Specialized training: Investigations.,Specialized training: Investigations.
§115.14,1472,1472,1.0,239,239,1.0,99.9,Juvenile and family detainees.,Juvenile and family detainees.
§115.141,1972,2035,1.032,308,315,0.946,96.6,Assessment for risk of victimization and abusiveness.,Assessment for risk of victimization and abusiveness.
§115.15,2934,2988,1.018,442,454,0.952,94.6,Limits to cross-gender viewing and searches.,Limits to cross-gender viewing
§115.151,1043,1073,1.029,162,166,0.958,97.2,Detainee reporting.,Detainee reporting.
§115.152,29,0,0.0,4,0,0.0,0.0,,[Reserved]
§115.154,222,268,1.207,38,44,0.871,82.8,Third-party reporting.,Third-party reporting.
§115.16,2587,2719,1.051,384,402,0.955,95.0,Accommodating detainees with disabilities and detainees who are limited English proficient.,Accommodating
§115.161,1355,1396,1.03,212,222,0.927,97.0,Staff reporting duties.,Staff reporting duties.
§115.162,185,185,1.0,32,32,1.0,100.0,Agency protection duties.,Agency protection duties.
§115.163,705,1731,2.455,111,267,0.556,40.7,Reporting to other confinement facilities.,Reporting to other confinement facilities.
§115.164,1254,228,0.182,195,39,0.367,18.2,Responder duties.,Responder duties.
§115.165,704,704,1.0,118,118,1.0,99.7,Coordinated response.,Coordinated response.
§115.166,311,396,1.273,45,57,0.833,78.5,Protection of detainees from contact with alleged abusers.,Protection of detainees from
§115.167,279,294,1.054,43,44,0.972,94.9,Agency protection against retaliation.,Agency protection against retaliation.
§115.17,3279,3279,1.0,506,506,1.0,99.1,Hiring and promotion decisions.,Hiring and promotion decisions.
§115.171,2395,2411,1.007,331,332,0.994,99.3,Criminal and administrative investigations.,Criminal and administrative
§115.172,201,212,1.055,28,29,0.963,94.8,Evidentiary standard for administrative investigations.,Evidentiary standard for administrative investigations.
§115.176,1523,1587,1.042,243,256,0.912,95.7,Disciplinary sanctions for staff.,Disciplinary
§115.177,1010,1034,1.024,147,151,0.967,97.7,Corrective action for contractors and volunteers.,Corrective action for contractors and volunteers.
§115.18,611,703,1.151,87,103,0.825,86.9,Upgrades to facilities and technologies.,Upgrades
§115.181,20,0,0.0,3,0,0.0,0.0,,[Reserved]
§115.182,498,535,1.074,68,73,0.927,84.5,Access to emergency medical services.,Access to emergency medical
§115.186,901,919,1.02,137,139,0.988,98.0,Sexual abuse incident reviews.,Sexual abuse
§115.187,1818,1872,1.03,280,287,0.958,97.0,Data collection.,Data collection.
§115.188,933,77,0.083,152,12,0.112,7.5,Data review for corrective action.,Data review for corrective
§115.189,813,723,0.889,124,106,0.788,79.3,"Data storage, publication, and destruction.",Data
§115.193,2747,2828,1.029,447,461,0.915,97.1,Audits of standards.,Audits of standards.
§115.195,131,212,1.618,17,28,0.68,61.8,Additional provisions in agency policies.,Additional
§115.201,1838,1893,1.03,277,285,0.966,97.1,Scope of audits.,Scope of audits.
§115.202,933,933,1.0,144,144,1.0,98.9,Auditor qualifications.,Auditor qualifications.
§115.203,1513,1513,1.0,229,229,1.0,99.8,Audit contents and findings.,Audit contents and findings.
§115.204,799,842,1.054,127,137,0.895,94.7,Audit corrective action plan.,Audit corrective action plan.
§115.205,509,1321,2.595,91,203,0.4,38.3,Audit appeals.,Audit appeals.
§115.21,2560,2559,1.0,381,380,0.994,98.4,Evidence protocols and forensic medical examinations.,Evidence protocols and forensic medical examinations.
§115.22,2946,3041,1.032,460,473,0.95,96.3,Policies to ensure investigation of allegations and appropriate agency oversight.,Policies to ensure investigation of allegations and appropriate
§115.31,1600,1600,1.0,245,245,0.976,97.4,Staff training.,Staff training.
§115.32,1081,1121,1.037,169,179,0.902,96.1,Other training.,Other training.
§115.33,2050,2051,1.0,304,303,0.994,99.6,Detainee education.,Detainee education.
§115.34,606,632,1.043,83,85,0.981,93.4,Specialized training: Investigations.,Specialized
§115.35,1040,1177,1.132,164,183,0.883,88.1,Specialized training: Medical and mental health care.,Specialized training: Medical
§115.41,2366,2364,0.999,371,369,0.984,99.7,Assessment for risk of victimization and abusiveness.,Assessment for risk of victimization and abusiveness.
§115.42,1416,73,0.052,217,12,0.095,5.2,Use of assessment information.,Use of assessment information.
§115.43,2755,2765,1.004,410,411,0.984,99.2,Protective custody.,Protective custody.
§115.5,5062,4964,0.981,781,765,0.964,95.7,General definitions.,General definitions.
§115.51,1127,1181,1.048,174,182,0.95,95.4,Detainee reporting.,Detainee reporting.
§115.52,1269,1269,1.0,201,201,1.0,99.9,Grievances.,Grievances.
§115.53,1579,1610,1.02,225,228,0.992,97.9,Detainee access to outside confidential support services.,Detainee access to outside
§115.54,231,317,1.372,38,54,0.698,72.9,Third-party reporting.,Third-party reporting.
§115.6,3211,3336,1.039,536,557,0.924,96.2,Definitions related to sexual abuse and assault.,Definitions related to sexual
§115.61,1489,1489,1.0,232,232,1.0,99.9,Staff reporting duties.,Staff reporting duties.
§115.62,208,208,1.0,36,36,1.0,100.0,Protection duties.,Protection duties.
§115.63,806,806,1.0,127,127,1.0,100.0,Reporting to other confinement facilities.,Reporting to other confinement facilities.
§115.64,1233,1287,1.044,192,200,0.947,95.8,Responder duties.,Responder duties.
§115.65,940,940,1.0,149,149,0.923,96.4,Coordinated response.,Coordinated response.
§115.66,174,204,1.172,24,28,0.885,85.3,Protection of detainees from contact with alleged abusers.,Protection of detainees from
§115.67,1153,1153,1.0,174,174,1.0,100.0,Agency protection against retaliation.,Agency protection against retaliation.
§115.68,1331,223,0.168,211,33,0.246,16.8,Post-allegation protective custody.,Post-allegation protective custody.
§115.71,2798,2736,0.978,389,376,0.979,96.6,Criminal and administrative investigations.,Criminal and administrative
§115.72,201,201,1.0,28,28,1.0,100.0,Evidentiary standard for administrative investigations.,Evidentiary standard for administrative investigations.
§115.73,263,274,1.042,41,42,0.971,95.6,Reporting to detainees.,Reporting to detainees.
§115.76,1562,1717,1.099,248,273,0.866,90.7,Disciplinary sanctions for staff.,Disciplinary
§115.77,828,828,1.0,123,123,1.0,100.0,Corrective action for contractors and volunteers.,Corrective action for contractors and volunteers.
§115.78,1309,1333,1.018,201,205,0.984,98.1,Disciplinary sanctions for detainees.,Disciplinary sanctions for detainees.
§115.81,652,33,0.051,105,6,0.103,5.1,Medical and mental health assessments; history of sexual abuse.,Medical and mental health assessments; history of sexual abuse.
§115.82,498,526,1.056,68,72,0.944,85.9,Access to emergency medical and mental health services.,Access to emergency medical
