sec_id,xml_refs,pdf_refs,overlap,only_xml,only_pdf,precision,recall,f1
§408.101,0,0,0,0,0,1.0,1.0,1.0
§408.105,0,0,0,0,0,1.0,1.0,1.0
§408.110,2,2,2,0,0,1.0,1.0,1.0
§408.120,0,0,0,0,0,1.0,1.0,1.0
§408.201,3,1,1,2,0,1.0,0.333,0.5
§408.202,3,0,0,3,0,0.0,0.0,1.0
§408.204,1,2,1,0,1,0.5,1.0,0.667
§408.206,2,0,0,2,0,0.0,0.0,1.0
§408.208,0,0,0,0,0,1.0,1.0,1.0
§408.210,0,0,0,0,0,1.0,1.0,1.0
§408.212,2,2,2,0,0,1.0,1.0,1.0
§408.214,0,0,0,0,0,1.0,1.0,1.0
§408.216,0,0,0,0,0,1.0,1.0,1.0
§408.218,1,1,1,0,0,1.0,1.0,1.0
§408.220,1,0,0,1,0,0.0,0.0,1.0
§408.222,2,0,0,2,0,0.0,0.0,1.0
§408.224,0,0,0,0,0,1.0,1.0,1.0
§408.226,1,1,1,0,0,1.0,1.0,1.0
§408.228,0,0,0,0,0,1.0,1.0,1.0
§408.230,1,1,1,0,0,1.0,1.0,1.0
§408.232,1,1,1,0,0,1.0,1.0,1.0
§408.234,0,0,0,0,0,1.0,1.0,1.0
§408.301,0,0,0,0,0,1.0,1.0,1.0
§408.305,0,0,0,0,0,1.0,1.0,1.0
§408.310,2,2,2,0,0,1.0,1.0,1.0
§408.315,0,0,0,0,0,1.0,1.0,1.0
§408.320,0,0,0,0,0,1.0,1.0,1.0
§408.325,3,3,3,0,0,1.0,1.0,1.0
§408.330,0,0,0,0,0,1.0,1.0,1.0
§408.340,3,1,1,2,0,1.0,0.333,0.5
§408.345,2,2,2,0,0,1.0,1.0,1.0
§408.351,1,1,1,0,0,1.0,1.0,1.0
§408.355,2,2,2,0,0,1.0,1.0,1.0
§408.360,2,2,2,0,0,1.0,1.0,1.0
§408.401,0,0,0,0,0,1.0,1.0,1.0
§408.402,0,0,0,0,0,1.0,1.0,1.0
§408.403,0,0,0,0,0,1.0,1.0,1.0
§408.404,0,0,0,0,0,1.0,1.0,1.0
§408.405,0,0,0,0,0,1.0,1.0,1.0
§408.406,0,0,0,0,0,1.0,1.0,1.0
§408.410,0,0,0,0,0,1.0,1.0,1.0
§408.412,1,1,1,0,0,1.0,1.0,1.0
§408.413,1,1,1,0,0,1.0,1.0,1.0
§408.420,2,1,1,1,0,1.0,0.5,0.667
§408.425,0,0,0,0,0,1.0,1.0,1.0
§408.430,1,1,1,0,0,1.0,1.0,1.0
§408.432,0,0,0,0,0,1.0,1.0,1.0
§408.435,0,0,0,0,0,1.0,1.0,1.0
§408.437,1,1,1,0,0,1.0,1.0,1.0
§408.501,0,0,0,0,0,1.0,1.0,1.0
§408.505,3,3,3,0,0,1.0,1.0,1.0
§408.510,1,1,1,0,0,1.0,1.0,1.0
§408.515,0,0,0,0,0,1.0,1.0,1.0
§408.601,1,1,1,0,0,1.0,1.0,1.0
§408.610,1,0,0,1,0,0.0,0.0,1.0
§408.611,1,1,1,0,0,1.0,1.0,1.0
§408.615,1,0,0,1,0,0.0,0.0,1.0
§408.618,1,1,1,0,0,1.0,1.0,1.0
§408.620,1,1,1,0,0,1.0,1.0,1.0
§408.621,1,0,0,1,0,0.0,0.0,1.0
§408.622,1,0,0,1,0,0.0,0.0,1.0
§408.624,1,1,1,0,0,1.0,1.0,1.0
§408.625,1,0,0,1,0,0.0,0.0,1.0
§408.626,1,0,0,1,0,0.0,0.0,1.0
§408.630,0,0,0,0,0,1.0,1.0,1.0
§408.635,1,1,1,0,0,1.0,1.0,1.0
§408.640,1,1,1,0,0,1.0,1.0,1.0
§408.641,1,1,1,0,0,1.0,1.0,1.0
§408.645,1,1,1,0,0,1.0,1.0,1.0
§408.650,1,1,1,0,0,1.0,1.0,1.0
§408.655,1,1,1,0,0,1.0,1.0,1.0
§408.660,1,1,1,0,0,1.0,1.0,1.0
§408.665,0,0,0,0,0,1.0,1.0,1.0
§408.701,0,0,0,0,0,1.0,1.0,1.0
§408.704,0,0,0,0,0,1.0,1.0,1.0
§408.708,1,1,1,0,0,1.0,1.0,1.0
§408.710,0,0,0,0,0,1.0,1.0,1.0
§408.712,0,0,0,0,0,1.0,1.0,1.0
§408.714,2,2,2,0,0,1.0,1.0,1.0
§408.801,0,0,0,0,0,1.0,1.0,1.0
§408.802,5,5,5,0,0,1.0,1.0,1.0
§408.803,3,3,3,0,0,1.0,1.0,1.0
§408.806,0,0,0,0,0,1.0,1.0,1.0
§408.808,2,2,2,0,0,1.0,1.0,1.0
§408.809,0,0,0,0,0,1.0,1.0,1.0
§408.810,0,0,0,0,0,1.0,1.0,1.0
§408.812,0,0,0,0,0,1.0,1.0,1.0
§408.814,2,2,2,0,0,1.0,1.0,1.0
§408.816,0,0,0,0,0,1.0,1.0,1.0
§408.818,1,0,0,1,0,0.0,0.0,1.0
§408.820,3,3,3,0,0,1.0,1.0,1.0
§408.900,35,35,35,0,0,1.0,1.0,1.0
§408.901,0,0,0,0,0,1.0,1.0,1.0
§408.902,1,1,1,0,0,1.0,1.0,1.0
§408.903,6,6,6,0,0,1.0,1.0,1.0
§408.904,0,0,0,0,0,1.0,1.0,1.0
§408.905,5,1,1,4,0,1.0,0.2,0.333
§408.910,4,0,0,4,0,0.0,0.0,1.0
§408.911,0,0,0,0,0,1.0,1.0,1.0
