sec_id,xml_len,pdf_len,len_ratio,xml_tokens,pdf_tokens,jaccard_unigram,rf_similarity,xml_heading,pdf_heading
§408.1000,2884,714,0.248,467,111,0.391,24.8,What is this subpart about?,What is this subpart about?
§408.1001,1082,1151,1.064,181,196,0.893,93.8,Definitions.,Definitions.
§408.1002,285,355,1.246,42,57,0.667,80.3,What is an initial determination?,What is an initial determination?
§408.1003,921,2159,2.344,149,351,0.124,25.2,Which administrative actions are initial determinations?,", that gives you a right to further review."
§408.1004,1333,1318,0.989,224,220,0.992,98.9,Which administrative actions are not initial determinations?,Which administrative actions are not initial determinations?
§408.1005,763,697,0.913,131,116,0.938,84.3,Will we mail you a notice of the initial determination?,Will we mail you a notice of
§408.1006,143,159,1.112,21,22,1.0,89.9,What is the effect of an initial determination?,What is the effect of an initial determination?
§408.1007,268,268,1.0,39,39,1.0,100.0,What is reconsideration?,What is reconsideration?
§408.1009,1292,1336,1.034,229,234,0.958,96.7,How do you request reconsideration?,How do you request reconsideration?
§408.101,1737,1879,1.082,266,294,0.832,92.4,What is this part about?,What is this part about?
§408.1011,2076,2147,1.034,343,355,0.989,95.5,How do we determine whether you had good cause for missing the deadline to request review?,How do we determine
§408.1013,1366,1428,1.045,217,228,0.898,95.7,What are the methods for reconsideration?,What are the methods for
§408.1014,168,253,1.506,29,41,0.893,66.4,What procedures apply if you request reconsideration of an initial determination on your application for SVB?,What procedures apply if
§408.1015,430,553,1.286,80,97,0.894,77.8,"What procedures apply if you request reconsideration of an initial determination that results in suspension, reduction, or termination of your SVB?",What procedures apply if
§408.1016,1232,1246,1.011,219,221,1.0,98.9,What happens if you request a conference?,What happens if you request
§408.1020,354,424,1.198,54,69,0.725,83.5,How do we make our reconsidered determination?,How do we make our reconsidered determination?
§408.1021,257,283,1.101,40,43,0.968,90.8,How does the reconsidered determination affect you?,How does the reconsidered
§408.1022,285,343,1.204,51,57,0.947,83.1,How will we notify you of our reconsidered determination?,How will we notify you of
§408.1030,594,689,1.16,105,116,0.872,77.4,When can you use the expedited appeals process?,When can you use the expedited appeals process?
§408.1040,500,601,1.202,92,104,0.967,78.7,When can you request a hearing before an administrative law judge (ALJ)?,When can you request a
§408.1045,494,550,1.113,91,99,0.912,88.9,What procedures apply if you request an ALJ hearing?,What procedures apply if
§408.105,281,297,1.057,47,50,0.971,94.6,Purpose and administration of the program.,Purpose and administration
§408.1050,619,698,1.128,117,128,0.893,87.4,When can you request Appeals Council review of an ALJ hearing decision or dismissal of a hearing request?,When can you request Appeals Council review of an ALJ
§408.1060,151,248,1.642,30,43,0.714,60.5,What happens if a Federal Court remands your case to the Commissioner?,What happens if a Federal
§408.1070,888,752,0.847,160,132,0.759,77.0,When will we reopen a final determination?,When will we reopen a final
§408.110,2442,2520,1.032,411,428,0.948,96.7,General definitions and use of terms.,General definitions and use
§408.1101,1314,1568,1.193,242,282,0.812,82.3,Can you appoint someone to represent you?,Can you appoint someone to
§408.120,453,773,1.706,83,138,0.588,58.6,Periods of limitations ending on Federal nonworkdays.,Periods of limitations ending
§408.1201,569,579,1.018,97,98,1.0,98.3,What are State recognition payments?,What are State recognition
§408.1205,430,2413,5.612,68,414,0.094,13.5,How can a State have SSA administer its State recognition payment program?,. Audit findings will be resolved in accordance with the provisions of the State’s agreement with
§408.1210,3059,3102,1.014,515,520,0.981,98.5,What are the essential elements of an administration agreement?,What are the essential elements of an administration agreement?
§408.1215,886,914,1.032,138,141,1.0,96.9,How do you establish eligibility for Federally administered State recognition payments?,How do you establish eligibility for Federally administered
§408.1220,607,693,1.142,103,117,0.87,87.6,How do we pay Federally administered State recognition payments?,How do we pay Federally
§408.1225,634,650,1.025,96,98,1.0,97.5,What happens if you receive an overpayment?,What happens if you receive
§408.1226,165,165,1.0,28,28,1.0,100.0,What happens if you are underpaid?,What happens if you are underpaid?
§408.1230,864,864,1.0,153,153,1.0,100.0,Can you waive State recognition payments?,Can you waive State recognition payments?
§408.1235,2787,2777,0.996,479,475,0.929,92.0,How does the State transfer funds to SSA to administer its recognition payment program?,How does the State transfer
§408.201,809,114,0.141,141,22,0.262,14.1,What is this subpart about?,What is this subpart about?
§408.202,722,1801,2.494,140,321,0.128,23.5,How do you qualify for SVB?,", you will not be qualified for"
§408.204,1871,654,0.35,331,112,0.232,24.5,What conditions will prevent you from qualifying for SVB or being entitled to receive SVB payments?,"exist. However, you cannot be"
