sec_id,xml_refs,pdf_refs,overlap,only_xml,only_pdf,precision,recall,f1
§37.1,0,0,0,0,0,1.0,1.0,1.0
§37.3,1,1,1,0,0,1.0,1.0,1.0
§37.4,5,2,2,3,0,1.0,0.4,0.571
§37.5,1,1,1,0,0,1.0,1.0,1.0
§37.7,1,1,1,0,0,1.0,1.0,1.0
§37.8,6,0,0,6,0,0.0,0.0,1.0
§37.9,2,2,2,0,0,1.0,1.0,1.0
§37.10,2,8,2,0,6,0.25,1.0,0.4
§37.11,7,1,1,6,0,1.0,0.143,0.25
§37.13,4,4,4,0,0,1.0,1.0,1.0
§37.15,1,1,1,0,0,1.0,1.0,1.0
§37.17,5,5,5,0,0,1.0,1.0,1.0
§37.19,3,3,3,0,0,1.0,1.0,1.0
§37.21,1,1,1,0,0,1.0,1.0,1.0
§37.23,1,1,1,0,0,1.0,1.0,1.0
§37.25,1,1,1,0,0,1.0,1.0,1.0
§37.27,1,1,1,0,0,1.0,1.0,1.0
§37.29,0,0,0,0,0,1.0,1.0,1.0
§37.31,3,1,0,3,1,0.0,0.0,1.0
§37.33,2,0,0,2,0,0.0,0.0,1.0
§37.41,3,0,0,3,0,0.0,0.0,1.0
§37.43,1,1,1,0,0,1.0,1.0,1.0
§37.45,1,1,1,0,0,1.0,1.0,1.0
§37.51,3,3,3,0,0,1.0,1.0,1.0
§37.55,3,2,0,3,2,0.0,0.0,1.0
§37.59,1,1,1,0,0,1.0,1.0,1.0
§37.61,1,1,1,0,0,1.0,1.0,1.0
§37.63,1,1,1,0,0,1.0,1.0,1.0
§37.65,2,2,2,0,0,1.0,1.0,1.0
§37.71,1,1,1,0,0,1.0,1.0,1.0
